구복,맘맘테이블,소담식당,신촌돈부리모노,싸움의 고수,아비꼬 신촌점,아웃닭,엠브로돈까스,유닭스토리 닭한마리,짚신매운갈비찜,프레퍼스,한술식당,해탄,화로상회
,분짜 똠양쌀국수 다 맛있었어요!!!!,,,,,"아웃닭 언제나 맛있는데 직원분들이 마스크를 안쓰고 계셔서 쫌 불안했어요 주방에 있다 나오신분도 안쓰고 계시더라구요,,
다른 지점은 어떤지 모르겠지만 여기는 안쓰고 있었습니다",,너무 맛있는 우리의 닭칼~ 올때마다 깜짝 놀라는 맛! 한식대첩 재밌게봤었는데 한식대첩3 우승자출신 임성근 셰프님이 고안한 비법이니 이렇게 맛있는거겠지요~? 올때마다 매번 만족하고 가는 우리의 닭칼~ 앞으로도 승승장구하길♥,,프레퍼스 짱!,,,
,맛있어요,,,,,서빙하시는 분들이 마스크를 쓰고 계시지 않음. 주방 분들도 가끔 나오시는 걸 봤는데 마스크 안쓰고 계셨음,,"칼국수 사리 한개는 제공되고 부족할 수 있으이 추가하시는걸 추천!

국물이 진짜 담백하고 맛있어요",,"프레퍼스 리모델링 하더니 매장도 더 깔끔해지고 좋네요!!
맨날 샐러드만 먹었는데 오늘은 덮밥으로 먹어보려규용
오늘도 잘 먹고가요~",,,
,분짜도 맛있어요!!!,,,,,친절하고 좋았어요,,"육수가 짜지않고 슴슴하니 맛있고 닭도 질이 좋아요
맛나게 잘 먹었어요",,,,,
,맛집 진짜 넘ㄴㅏ.사랑함,,,,,"신촌에 있는 치킨집 중에 으뜸이에요b
여전히 맛은 있는데 치킨 양이 엄청 줄었어요,,,
감자튀김만 한가득이에요
그리고 처음에 들어왔을 때 직원 안내가 하나도 없고 제가 직원 찾아서 여쭤봐야하는 수준이에요
이런 거 빼면 좋아요",,"앙념장은 그 어디 닭한마리도 여길 이길 수 옶습니다
너무 맛있어요????
최고입니당",,짱 맛있습니다 ㅋㅋ,,,
,맛있어요~,,,,,믿고먹는 아웃닭 존맛탱!,,국물이 진짜 진국이라서 배가 부른데도 계속 계속 퍼먹었어요!! 칼국수 넘 맛있어서 흡입했고 마지막 계란죽도 최고?? 직원분들과 사장님께서 모두 친절하셔서 기분좋게 식사했습니다??,,24시간 열고 맛있어용!!,,,
,굿,,,,,맛도좋고 닭비린맛도없고좋아요,,"너무 맛있어요!!
비오는날 먹기 딱이네요",,24시간동안 운영해서 좋아요. 다이어트푸드답게 위장에 무리도 많이 안가고 좋아요,,,
,좋아요,,,,,양이 진짜 많아요 감자튀김이 많아서 안주로 좋아요,,대기없이 들어갔어요! 육수가 특히 맛있습니다 ????,,"매장이 넓고 2층이에요!!
청소도 깔끔하게 해주시고
쾌적하게 먹을 수 있을 거 같아요!!
강추??",,,
,양도 많고 맛있어요~~,,,,,"테이크아웃했는데 20분넘게 기다린 것 같아요.
순살한마리 시켰더니 두박스에 나눠줬는데ㅋㅋㅋ떡이랑 감자튀김만 잔뜩들어있고 정작 치킨이 얼마없었어요;;",,일요일 아침부터 낮술 드시는 팀이 있을 정도로 해장도 가능하지만 또 소주를 부르는 시원한 국물맛입니다. 그리고 여기 나와있는 안내대로 소스 만들어서 양배추랑 먹으면 진짜 맛있어요…????,,"프레퍼스 매장 인태리어 리뉴얼!! 이전보다 깔끔해지고 넓어져서 좋아요!
맛은 여전히 건강 그잡채??",,,
,내 영수증 리스트 분짜 최고 맛집,,,,,양도 푸짐하구 맛잇어서 자주 와요,,딱 입구부터가 범상치가 않습니다! 여기 남자들이 환장하고 올거같아요! 각종 피규어랑 사진 그리고 구수한 닭고기의 냄새가 퍼져 여기 고르게끔 만드는 매력이 있는 맛집입니다! 가격! 저렴하고! 서비스도 좋으시구! 가게도 넓고 혼밥 괜찬습니다! 이런 맛집을 찾을수 있어서 행복하네용! 몸보심 지대로 하고 가겠습니다! 추천할게용!,,다시 오픈해서 왔는데 넘마싯서용,,,
,짱맛있어요!!,,,,,분위기도 좋고 맛도 좋아요,,"닭은 넘 배고파서 나오자마자 먹어버렸어요ㅠㅠ
유명한 이유를 알겠어요 ~!~!~!
비오는날 아쥬 조쿤요!",,너무 맛있게 먹었어요,,,
,맛있고 빠르게 나와서 점심시간에 자주 가는 곳 중 한 군데입니다. 그런데 종업원분이 자리 안내를 너무 비효율적으로 해주시네요. 4명이서 방문했는데 테이블 붙여서 4명이 충분히 앉을 수 있는데도 저희 뒤에 대기하던 2명 먼저 자리 안내했습니다. 바쁜 점심시간에요. 이런 점만 빼면 아주 좋아요.,,,,,넘넘 맛있어용??,,유명한 이유가 있어요,,저렴하고 깔끔하니 맛있어요~,,,
,너무 맛있었어요,,,,,아웃닭은 역시 맛있습니다. 제가 좋아하는 치킨집이에요. 신촌점은 처음이었는데 맛있었어요. 그런데 서빙하시는 분들이 마스크를 안 쓰셔서 놀랐네요. 까먹으셨던 건지 모르겠지만 조금 걱정 됐습니다. 코로나 때문에 뒤숭숭한데 신경 써주시면 좋겠습니다.,,맛있어요 여름에 보양식으로 먹기 너무 좋네요~!,,가볍고 든든하게 먹기 좋아요! 맛있습니당.,,,
,좋아요,,,,,"치킨 넘 맛있어요
같이 나오는 감자튀김도 맛나구용",,맛있게 잘 먹었습니다,,자주먹는데 항상 푸짐하고 맛있습니다,,,
,,,,,,코로나 속에도 줄서서 먹는 맛집 개존맛이에요ㅜㅜ,,여름에도 좋은게 안에 에어컨 빵빵해서 딱좋아요~~~~ 10번이상 재방문한 곳?? 모둠사리 꼭 추가하세욥,,재재재재방문이에요 ㅎㅎ 맛있고 가성비좋고 알차용,,,
,분깐조 맛있어요~,,,,,양도많고 맛도 굿,,늘 대기가 길어 궁금했는데 먹어보니 이유를 알겠네요. 잡내 하나 없이 정말 맛있게 잘 먹었습니다. 여름 보양식으로 최고예요. 복날 또 와야겠네요.,,샐러드 파스타 너무 맛있어요! 식단 하려는 친구 따라왔는데 메뉴가 많아서 좋아요,,,
,변함없는 맛~~최고입니다!!,,,,,맛있어요!!,,음식도 최고!!! 사장님도 최고!!!,,양 많고 맛있어요!,,,
,최애 음식점!! 분짜 두번 세번 네번 드세요!!!,,,,,맛있어요,,맛있고 사장님도 친절하세요!,,맛있어요!,,,
,굳굳,,,,,양도 많고 맛도 최고,,닭 먹고 싶었는데 너무 맛있어요~,,대박 맛았있어요,,,
,굿,,,,,역시ㅜ아웃닭,,좋아요,,다이어트 푸드 ????????,,,
,맘맘테이블 지금 자리로 이전하기 전부터 다녔어요 늘 맛있어용,,,,,맛있었어요ㅎㅎ 근데 치킨양에 비해 감자튀김이 너무 많았어요ㅠㅠ,,너무너무 맛있게 잘 먹었습니다,,새메뉴도 맛있네요!!!!,,,
,분짜맛있어요,,,,,완전 맛있어요! ^^,,사장님이 엄청 친절하세요!~ 국물이 엄청 찐하고 맛있어요. 먹자마자 바로 해장되는 맛이에요. 다양한 사리 메뉴를 통해서 다양한 맛을 경험을 할 수 있어요~~ 엄청 맛있는데 사장님이 서비스도 많이 주세요!!,,늘 오는덴데 재 오픈했네요,,,
,좁지만 학생들한텐 유명한 맛집,,,,,맛있습니다. 다만 역시 본점은 못따라가는것같으요,,맛있어요 매장도 넓어서 좋운 것같아요 가성비가 괜찮고 혼밥해도 괜찮울 것같아요 ㅎ 뜨끈한 거 원할 때 먹어도 괜찮을 것같네여 ㅎ,,재료도 신선하고 맛있어요,,,
,분짜 너무 맛있어요,,,,,부산에서 먹었던맛 그대로 였다 존맛,,"국물이 정말 찐~하고 맛있어요~!
먹자마자 해장이 바로 되는 맛!
여름에는 보양으로 좋고, 겨울에는 따뜻하게 좋고~
사장님도 친절하시고, 재밌으셔요 ㅎㅎ
몇번이고 다시가는 또간집!!",,리모델링해서 오랜만에 왔어요~~,,,
,맛있어용~~,,,,,맛있어요,,처음 방문인데 친절하고 맛있네요 닭에 칼국수와 죽 만들어 먹으면 맛있어요,,역시 믿고 먹는 프레퍼스,,,
,맛있어요 짜조 똠양꿍좋아요,,,,,,,신촌 최애집이에요 여기아니면 신촌에 올 이유가 없다. . . . . 이모님들도 정말 친절하시고 너무너무 마싯습니다 ??????,,"믿고먹는 프레퍼스 :) 야채만 쪼꼼 더 주시면,,, 좋겠어요,,, ㅎㅅㅎ ㅠㅜ",,,
,좋아요,,,,,여태껏먹어본 치킨집중 원찹 삼년째 단골이에요,,"초계국수는 무조건 드세요.
닭한마리, 칼국수, 죽까지 전부 먹었습니다.
너무 맛있어요!!
신촌 최고의 닭요리 전문점
특히 직원분들 텐션과 서비스 덕분에 기분 좋게 먹고가요!!",,,,,
,"분짜랑 호띠우ㅜ너무맛있어요
왜줄서서먹는지알게됨

일주일에 두번이상은 꼭먹는거같애요
매운고추랑 마늘 넣을수잇어서 너무좋아요
면추가까지.. 혜자 입니다 계속오래도록 운영해주세요♡",,,,,,,"니무맛잏어요
자주옵니다ㅎㅎ
최고에요",,음식 맛잇어서 항상 많이 이용해요! 매장 리모델린해서 더 좋아졌어용????,,,
,맛있게 잘 먹었네요~~,,,,,,,초계국수 넘 맛있어요! 더운 여름날 완전 추천합니다 ??,,진짜 맛잇고 건강해요,,,
,좋아여,,,,,,,맛잇어요 굿굿굿&^^,,"식단 할때마다 항상 들립니다!!
맛있게 먹구갑니다!!
다음에 또 올게요!!",,,
,"너무 맛있어요
자주 가는 곳인데 언젠가부터 점점 양이 줄어드는 거 같아요ㅠ",,,,,,,맛있어요,,분위기도 좋고 너무 음식이 맛잇어요. 고기가 많아서 너무 좋아요. 포케는 고기가 적잖아요. 여기가 최고에요.,,,
,분짜 너무 맛있어요!,,,,,,,신촌사는 사람의 N번재 방문입니다! 저희는 칼칼하게 몸보신 하고 싶을때 와서 매운맛 닭한마리 시킵니다ㅎㅎ얼큰한 신라면? 정도 매운맛이지 엄청 맵지 않아서 너무 좋아요?? 당면사리 2천원에 혜자니깐 꼭 시켜 드세요!!,,명이나물 포크 덮밥 진짜 맛있어요ㅜㅜ,,,
,굿,,,,,,,"맛있어요!!
강추합니다!",,비프로제샐러드파스타 주문했습니당^^,,,
,"항상 맛있게 먹고 가는 음식점!
분짜랑 쌀국수가 정말 맛있어요!!",,,,,,,"초계국수, 칼국수 맛있음

다만 손님대응이 살짝 아쉬운데 더 발전하시길 바래요",,가격도저렴하고 정말 맛있어요,,,
,굿,,,,,,,굿,,오랜만에 다시 리모델링 완료되어서 왔습니다!! 믿고 먹어요,,,
,싸고 맛나요.,,,,,,,넘 맛있어요~~~,,혼자 먹기 부담 없고 24시간 운영해서 너무 좋아요!! 잘 먹구 갑니다앙??,,,
,여기 쌀국수는 정말 최고임!!,,,,,,,"유닭스토리에서 단품은 많이 먹어봤는데 닭한마리는 처음 먹어봐요!!
떡을 먼저 먹었는데 오 굉장히 간이 잘 베어있고 말랑말랑 맛있었어요??
닭도 신선하고 냄새 전혀 없고 잘 먹었습니다!!",,맛도 좋고 몸에도 좋아서 자주 이용해요! 맛있습니당,,,
,소소,,,,,,,국물이 계속들어가요 ... 입에 기름도 안붙고 너무 맛있어서 칼국수 만두사리 추가해서 먹었는데 만둣국 칼국수맛집보다 맛있습니다 !! 깔끔한데 깊고 여름 몸보신으로도 좋은거 같아요 ! 너무 잘먹었습니다~♥?,,호기심에 방문했는데 고기 굽기도 너무 좋고 매장도 깔끔해서 좋았어요! 약간 상큼하고 깔끔한 음식 먹을때 종종 올거같아요!,,,
,똠양꿍 진짜 마시써요..가격도 음식대비 저렴하고 진짜 좋아요,,,,,,,올때마다 국물이 너무 시원하고 맛있어요ㅎㅎ 항상 생각나는 곳입니다~,,파스타 샐러드 맛있어요!,,,
,맛있어요,,,,,,,닭한마리 국물이 맑고 감칠맛이 좋아요! 마지막까지 깔끔한 국물과 함께 먹을 수 있어서 만족했습니다:),,"신촌에서 종종 애용하는 곳입니다.
다이어트 식단하면 비싸고 맛없고 그런데 야채및 채소, 단백질 골고루 맛있게 먹을수 있어서 좋아요.
양도 꽤 많아서 든든하게 한끼 챙길수 있어요.
매장에서 먹을수도 있고 포장도 가능합니다.
매장은 분위기가 아늑하고 좋아요.
사진은 기본메뉴 포장이구요.
오늘은 포장해서 갑니다~",,,
,분짜랑 짜조 맛있어요,,,,,,,국물이 제가 먹어본 닭한마리중에 가장 깔끔한 맛이 나는 집입니다. 다른데는 감자전분기 때문에 조금 걸쭉한데 여기는 다먹을때까지 팔팔 끓여도 국물이 탁하지 않고 깔끔해서 좋아요♥,,맛있어요,,,
,싸고 맛있게 잘 먹었습니다!,,,,,,,시원한 초계국수 너무 맛있어요,,매일 먹고 싶어요!! 빠르게 나오고 맛도 너무 맛있어요ㅠㅠㅠ????,,,
,분짜 완전 맛있어용~,,,,,,,맛있어서 재방문했어여!!,,오랜만에 왔는데 매장이 깔끔해졌어요! 그리고 건강한 맛이라 너무 좋아요?? 혼밥하는 분들도 많고 건강하게 챙겨먹기 좋네용,,,
,"밥 빼고 다 맛있음. 밥은 너무 현지식이라 ㅠㅠ
쌀국수랑 튀김 존맛탱",,,,,,,너무 맛잇게 먹고가요 ㅎㅎㅎ 거의 신촌 명물 !! 깔끔한 국물이.최거 입니당 자주 오는 집이에욜 ㅎㅎ 인테리어 구경하는 재미도 쏠솔??????,,맛잇게 잘 먹었습니다~,,,
,굿,,,,,,,신촌에서 유명한 유닭스토리 ㅎㅎ 넘 맛잇게 먹엇어요! 양배추 소스가 특히나 같이 먹으니 맛잇어서 많이 먹었네용 ㅎㅎ 블루리본맛집~ 인정합니다요!,,,,,
,"인생쌀국수와 분짜
여기 맛보면 다른 체인점 쌀국수집 절대 못감
여기만 20번 넘게 방문한 맘맘테이블덕후??
이사하고 공간도 더 넓어져서 좋아요
오래오래 장사해주세요 한달에 한번씩은
무조건 가줘야하는 쌀국수맛집
분짜도 여기가 최고
면추가도 돼서 정말 가성비 최고의 쌀국수집",,,,,,,너무 맛있어요!! 육수도 맛있구 또 올 것 같아요,,,,,
,,,,,,,,닭이 야들야들하고 너무 맛있어요!! 인테리어도 너무 힙해서 또 오고싶습니다! 강추!!,,,,,
,굿,,,,,,,너무 맛있어서 또 왔어요^^,,,,,
,분짜 처음 먹어봤는데 진짜 너무 맛있었어요ㅠㅠ,,,,,,,정말 맛있어요 ! 학교 끝나고 간단한 한끼로 먹기 좋은 거 같아용 ??,,,,,
,다 맛있어서 뭐 먹을지 고민되는 맛집 ??,,,,,,,정말 좋고 맛있었습니다!!! 특히 좋아하는 피규어가 너무 많아서 좋았어요,,,,,
,음식이 좀 단거같아요,,,,,,,굿국,,,,,
,분짜 맛집,,,,,,,"너무맛있게 잘먹었습니다 ^^
아이도 많이 먹고 가요~??",,,,,
,맛있고 가격도 싸요!,,,,,,,"닭한마리 더운날인데도 땡겨서 왔습니다
소스랑 닭이랑 먹으면 너무 맛있네요~",,,,,
,새로운곳이 매장이 넓어 이용하기 편해요. 혼자서 창가에 앉아 밥먹기도 좋겠어요 분짜가 맛있어요,,,,,,,초계국수 맛있음,,,,,
,맛있어요,,,,,,,"고기+떡사리+칼국수+김치 조합이 미쳤습니다~ㅎㅎ
여자친구랑 둘이 갔는데 배가 터질듯먹고왔어요.

자주옵니다~^^",,,,,
,분짜 쌀국수 현지느낌,,,,,,,나는 별로 안좋아하는데 와이프가 가자고해서 왔더니 맛있어서 내가 다 먹어버렸다... 닭도 추가하고 칼국수 넣어서 먹고 밥까지 말아먹은...크흙,,,,,
,분짜 최고에요,,,,,,,깔끔하고 맛 있어요!! 신촌에 맛집이 별로 없는데 여기는 맛있어서 자주 와용,,,,,
,분짜 쌀국수 넘넘 맛나요~~^^,,,,,,,닭한마리중 여기가 제일 맛있어요... 사진으로 못 담지만 존맛탱 ㅜㅜㅜ 진짜 존맛이여요...,,,,,
,분짜 맛집이 맞네요. 사리도 공짜로 추가되고.. 쌀국수도 맛있어요. 무엇보다 친절하세요~!,,,,,,,"닭갈비 덮밥 먹고싶어서 방문했습니다~ 사람 몰리는 시간대만 잘 피해서 가면 정말 좋은같아요

맛있었습니다!",,,,,
,"이 집은 분짜가 최고,,,????",,,,,,,너무 맛있어서 또오고 싶을정도로 깊은 맛이 느껴져욯ㅎㅎ 최고에용,,,,,
,음식 빨리나와요,,,,,,,깔끔 담백하니 넘 맛있어요~~~ㅎㅎ 든든한 저녁 식사 마무리했습니다??,,,,,
,친절하고 맛있어요 !,,,,,,,국물이 맑고 시원해요!! 고기도 부드럽고 맛있게 잘 먹었습니다~ 남녀 2명이서 먹기에 양이 딱 좋았어요:),,,,,
